"","Date","visitor_count","is_schyr","quarter","year","school_year","enrollment","total_trips","X","Quarter..String.","major_enroll","tot_major_count","totcs","totcy","plotdate","non_cy","cs_pct","STATION","NAME","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"1",2009-07-01,1856,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/1/09",7.38,1936,0.02,65,57,310,300,14.1,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",2009-07-02,1752,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/2/09",7.61,418,0,73,60,330,220,15,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2009-07-03,650,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/3/09",6.49,1411,0,79,62,60,70,14.1,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2009-07-04,7,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/4/09",4.7,1125,0.12,69,63,180,180,14.1,18.1,1,NA,NA,NA,NA,NA,1,NA,NA
"5",2009-07-05,563,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/5/09",2.68,1732,0.03,82,61,340,330,25.1,30,1,NA,NA,NA,NA,NA,1,NA,NA
"6",2009-07-06,1954,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/6/09",5.59,1128,0,85,63,320,310,21,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2009-07-07,2034,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/7/09",7.61,1811,0,76,65,80,80,14.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2009-07-08,1983,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/8/09",7.38,1937,0.17,68,62,60,60,14.1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2009-07-09,1728,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/9/09",7.38,1423,0,80,63,120,110,14.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009-07-10,1394,0,3,2009,2008,5064,0,2,"Summer 2009",331,384,3,60,2009.75,324,0.009259259,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","7/10/09",4.7,1540,0.12,84,67,240,160,14.1,19.9,1,NA,NA,NA,NA,NA,1,NA,NA
